Message_Size_Bytes,Time_Per_Pass_Sec,Bandwidth_MB_s
0,9.67062e-07,0
4,9.95933e-07,3.83028
8,8.45049e-07,9.02834
16,8.35934e-07,18.2536
32,8.20645e-07,37.1873
64,8.59537e-07,71.0093
128,1.31094e-06,93.1164
256,8.84292e-07,276.086
512,7.36647e-07,662.843
1024,7.27287e-07,1342.75
2048,8.64819e-07,2258.42
4096,2.0456e-06,1909.59
8192,2.7761e-06,2814.2
16384,4.23705e-06,3687.71
32768,7.03248e-06,4443.66
65536,1.60343e-05,3897.9
131072,2.63472e-05,4744.34
262144,3.41344e-05,7324
524288,5.69412e-05,8780.99
1048576,0.000112576,8882.92
2097152,0.000204748,9768.1
4194304,0.000421095,9499.05
